@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3}

@data
150,'2020/04/27 08:47:37:723',5,0.107502,-0.935423,1.611202,3.677349,1
151,'2020/04/27 08:47:38:050',5,0.208211,2.081875,-2.411443,3.355551,1
152,'2020/04/27 08:47:38:243',5,1.636321,-1.369169,3.310884,-4.26389,1
153,'2020/04/27 08:47:38:501',5,-1.264686,-0.966752,-2.214289,0.092652,1
154,'2020/04/27 08:47:38:785',5,-0.313326,2.478689,1.455278,0.648504,1
155,'2020/04/27 08:47:38:963',5,1.118526,-1.180916,0.802921,-3.069366,1
156,'2020/04/27 08:47:39:154',5,-0.178379,-0.436278,-2.433821,5.936494,1
157,'2020/04/27 08:47:39:342',5,-0.403979,0.318703,0.789676,-2.938847,1
158,'2020/04/27 08:47:39:541',5,-0.599299,0.105203,1.380227,-2.76526,1
159,'2020/04/27 08:47:39:699',5,0.958983,-0.131098,0.052072,1.989617,1
160,'2020/04/27 08:47:39:902',5,-0.697406,-0.046589,-3.805223,4.153146,1
161,'2020/04/27 08:47:40:061',5,0.063223,-0.878622,4.442594,-6.450327,1
162,'2020/04/27 08:47:40:239',5,0.11146,0.517275,-3.044979,2.526049,1
163,'2020/04/27 08:47:40:438',5,1.410891,1.619432,2.324933,3.923614,1
164,'2020/04/27 08:47:40:613',5,-2.945732,-1.205599,-1.909958,-3.554302,1
165,'2020/04/27 08:47:40:790',5,3.373629,0.133043,1.620643,0.161516,1
166,'2020/04/27 08:47:40:954',5,-2.480256,-0.296435,-1.473374,-0.328729,1
167,'2020/04/27 08:47:41:135',5,-0.142956,-0.95045,1.006882,0.406577,1
168,'2020/04/27 08:47:41:335',5,2.360972,2.39915,-0.351167,-0.385012,1
169,'2020/04/27 08:47:41:499',5,-1.869698,-2.573464,0.821972,0.391804,1
170,'2020/04/27 08:47:41:710',5,1.32817,2.258883,-0.257865,-0.166117,1
